Year,Country,Clean GW,Fossil GW,Gas and Other Fossil GW,"Hydro, Bioenergy and Other Renewables GW",Renewables GW,Wind and Solar GW,Bioenergy GW,Coal GW,Gas GW,Hydro GW,Nuclear GW,Other Fossil GW,Other Renewables GW,Solar GW,Wind GW,Demand TWh,Demand per capita MWh,Clean %,Fossil %,Gas and Other Fossil %,"Hydro, Bioenergy and Other Renewables %",Renewables %,Wind and Solar %,Clean TWh,Fossil TWh,Gas and Other Fossil TWh,"Hydro, Bioenergy and Other Renewables TWh",Renewables TWh,Wind and Solar TWh,Bioenergy %,Coal %,Gas %,Hydro %,Nuclear %,Other Fossil %,Other Renewables %,Solar %,Wind %,Bioenergy TWh,Coal TWh,Gas TWh,Hydro TWh,Nuclear TWh,Other Fossil TWh,Other Renewables TWh,Solar TWh,Wind TWh,Total Generation TWh,Net Imports TWh,Clean mtCO2,Fossil mtCO2,Gas and Other Fossil mtCO2,"Hydro, Bioenergy and Other Renewables mtCO2",Renewables mtCO2,Wind and Solar mtCO2,CO2 intensity gCO2/kWh,Bioenergy mtCO2,Coal mtCO2,Gas mtCO2,Hydro mtCO2,Nuclear mtCO2,Other Fossil mtCO2,Other Renewables mtCO2,Solar mtCO2,Wind mtCO2,Total emissions mtCO2,"GDP per capita,PPP"
2006,Greece,3.9,8.81,3.53,3.15,3.9,0.75,0.02,5.28,2.43,3.13,0,1.1,0,0,0.75,63.61,5.73,12.91,87.09,32.79,10.05,12.91,2.86,7.67,51.74,19.48,5.97,7.67,1.7,0.19,54.3,17.86,9.86,0,14.93,0,0,2.86,0.11,32.26,10.61,5.86,0,8.87,0,0,1.7,59.41,4.2,0.18,43.97,11.51,0.16,0.18,0.02,743.14,0.02,32.46,5.67,0.14,0,5.84,0,0,0.02,44.15,36519.89
2007,Greece,4.05,8.81,3.53,3.19,4.05,0.86,0.04,5.28,2.43,3.15,0,1.1,0,0.01,0.85,66.76,6.02,7.36,92.65,37.07,4.44,7.36,2.92,4.59,57.81,23.13,2.77,4.59,1.82,0.29,55.58,22.69,4.15,0,14.38,0,0,2.92,0.18,34.68,14.16,2.59,0,8.97,0,0,1.82,62.4,4.36,0.12,48.36,13.46,0.1,0.12,0.02,776.92,0.04,34.9,7.56,0.06,0,5.9,0,0,0.02,48.48,37619.496
2008,Greece,4.25,9.28,4,3.22,4.25,1.03,0.04,5.28,2.76,3.18,0,1.24,0,0.01,1.02,67.79,6.12,9.25,90.75,37.1,5.63,9.25,3.62,5.75,56.43,23.07,3.5,5.75,2.25,0.31,53.65,22.19,5.32,0,14.91,0,0.02,3.6,0.19,33.36,13.8,3.31,0,9.27,0,0.01,2.24,62.18,5.61,0.15,47.04,13.47,0.12,0.15,0.03,758.93,0.04,33.57,7.37,0.08,0,6.1,0,0,0.03,47.19,37394.01
2009,Greece,4.46,9.28,4,3.24,4.46,1.22,0.04,5.28,2.76,3.2,0,1.24,0,0.05,1.17,64.71,5.85,13.52,86.47,29.81,9.23,13.52,4.29,8.16,52.18,17.99,5.57,8.16,2.59,0.36,56.66,18.26,8.87,0,11.55,0,0.08,4.21,0.22,34.19,11.02,5.35,0,6.97,0,0.05,2.54,60.34,4.37,0.21,44.87,10.47,0.18,0.21,0.03,747.1,0.05,34.4,5.88,0.13,0,4.59,0,0,0.03,45.08,35691.793
2010,Greece,4.76,10.07,4.86,3.26,4.76,1.5,0.04,5.21,3.62,3.22,0,1.24,0,0.2,1.3,62.32,5.65,18.61,81.4,26.99,13.54,18.61,5.07,10.53,46.08,15.28,7.66,10.53,2.87,0.34,54.41,17.4,13.2,0,9.59,0,0.28,4.79,0.19,30.8,9.85,7.47,0,5.43,0,0.16,2.71,56.61,5.71,0.26,39.78,8.83,0.22,0.26,0.04,707.3,0.04,30.95,5.26,0.18,0,3.57,0,0.01,0.03,40.04,33693.21
2011,Greece,5.52,10.28,5.32,3.27,5.52,2.25,0.05,4.96,4.06,3.22,0,1.26,0,0.61,1.64,61.68,5.61,13.94,86.06,32.9,7.22,13.94,6.72,8.15,50.3,19.23,4.22,8.15,3.93,0.36,53.16,24.07,6.86,0,8.83,0,1.04,5.68,0.21,31.07,14.07,4.01,0,5.16,0,0.61,3.32,58.45,3.23,0.22,42.16,10.91,0.15,0.22,0.07,725.06,0.05,31.25,7.51,0.1,0,3.4,0,0.03,0.04,42.38,30318.404
2012,Greece,6.58,10.72,5.76,3.29,6.58,3.29,0.05,4.96,4.5,3.24,0,1.26,0,1.54,1.75,61.69,5.63,16.91,83.09,31.16,7.66,16.91,9.25,10.13,49.78,18.67,4.59,10.13,5.54,0.33,51.93,22.5,7.33,0,8.66,0,2.82,6.43,0.2,31.11,13.48,4.39,0,5.19,0,1.69,3.85,59.91,1.78,0.27,41.91,10.62,0.14,0.27,0.13,704.06,0.04,31.29,7.2,0.1,0,3.42,0,0.08,0.05,42.18,28322.572
2013,Greece,7.68,11.09,6.17,3.29,7.68,4.39,0.05,4.92,4.91,3.24,0,1.26,0,2.58,1.81,58.26,5.34,25.47,74.52,27.69,11.65,25.47,13.82,14.36,42.01,15.61,6.57,14.36,7.79,0.39,46.83,19.3,11.26,0,8.39,0,6.48,7.34,0.22,26.4,10.88,6.35,0,4.73,0,3.65,4.14,56.37,1.89,0.42,35.47,8.92,0.2,0.42,0.22,636.69,0.05,26.55,5.81,0.15,0,3.11,0,0.17,0.05,35.89,27810.912
2014,Greece,8.02,11.21,6.29,3.44,8.02,4.58,0.05,4.92,5.03,3.39,0,1.26,0,2.6,1.98,58.44,5.38,24.55,75.45,23.56,9.47,24.55,15.08,12.18,37.44,11.69,4.7,12.18,7.48,0.44,51.89,13.68,9.03,0,9.88,0,7.64,7.44,0.22,25.75,6.79,4.48,0,4.9,0,3.79,3.69,49.62,8.82,0.39,32.75,6.85,0.16,0.39,0.23,667.88,0.05,25.9,3.63,0.11,0,3.22,0,0.18,0.05,33.14,28129.96
2015,Greece,8.13,12.02,7.1,3.44,8.13,4.69,0.05,4.92,5.84,3.39,0,1.26,0,2.6,2.09,60.66,5.61,29.09,70.91,27.6,12.4,29.09,16.69,14.85,36.2,14.09,6.33,14.85,8.52,0.45,43.31,17.81,11.95,0,9.79,0,7.64,9.05,0.23,22.11,9.09,6.1,0,5,0,3.9,4.62,51.05,9.61,0.44,30.37,8.14,0.19,0.44,0.25,603.53,0.05,22.23,4.85,0.14,0,3.29,0,0.19,0.06,30.81,28260.387
2016,Greece,8.42,11.12,6.74,3.45,8.42,4.97,0.06,4.38,5.48,3.39,0,1.26,0,2.6,2.37,62.64,5.83,27.66,72.34,37.27,10.79,27.66,16.87,14.89,38.95,20.07,5.81,14.89,9.08,0.5,35.07,27.8,10.29,0,9.47,0,7.3,9.57,0.27,18.88,14.97,5.54,0,5.1,0,3.93,5.15,53.84,8.8,0.44,30.33,11.35,0.19,0.44,0.25,571.51,0.06,18.98,7.99,0.13,0,3.36,0,0.19,0.06,30.77,28239.92
2017,Greece,8.68,11.12,6.74,3.45,8.68,5.23,0.06,4.38,5.48,3.39,0,1.26,0,2.61,2.62,61.04,5.71,25.19,74.81,40.58,7.8,25.19,17.39,13.8,41,22.24,4.27,13.8,9.53,0.57,34.23,31.26,7.23,0,9.32,0,7.28,10.11,0.31,18.76,17.13,3.96,0,5.11,0,3.99,5.54,54.8,6.24,0.42,31.35,12.51,0.16,0.42,0.26,579.75,0.07,18.84,9.15,0.09,0,3.36,0,0.19,0.07,31.77,28604.861
2018,Greece,9.02,11.12,6.74,3.49,9.02,5.53,0.08,4.38,5.48,3.41,0,1.26,0,2.65,2.88,58.89,5.54,30.67,69.32,36.65,11.5,30.67,19.17,16.14,36.47,19.28,6.05,16.14,10.09,0.59,32.67,26.78,10.91,0,9.87,0,7.2,11.97,0.31,17.19,14.09,5.74,0,5.19,0,3.79,6.3,52.61,6.28,0.47,28.21,10.94,0.21,0.47,0.26,545.14,0.07,17.27,7.52,0.14,0,3.42,0,0.18,0.08,28.68,29141.174
2019,Greece,9.92,10.57,6.8,3.5,9.92,6.42,0.09,3.77,5.48,3.41,0,1.32,0,2.83,3.59,57.89,5.48,33.57,66.43,41.15,9.17,33.57,24.4,16.1,31.85,19.73,4.4,16.1,11.7,0.83,25.28,30.24,8.34,0,10.91,0,9.24,15.16,0.4,12.12,14.5,4,0,5.23,0,4.43,7.27,47.95,9.94,0.49,23.34,11.18,0.19,0.49,0.3,496.98,0.09,12.16,7.74,0.1,0,3.44,0,0.21,0.09,23.83,29720.17
2020,Greece,10.93,9.98,6.8,3.52,10.93,7.41,0.1,3.18,5.48,3.42,0,1.32,0,3.29,4.12,56.37,5.36,36.95,63.06,49.15,7.98,36.95,28.97,17.55,29.96,23.35,3.79,17.55,13.76,0.95,13.91,40.48,7.03,0,8.67,0,9.37,19.6,0.45,6.61,19.23,3.34,0,4.12,0,4.45,9.31,47.51,8.86,0.5,19.6,12.98,0.18,0.5,0.32,423.07,0.1,6.62,10.27,0.08,0,2.71,0,0.21,0.11,20.1,27009.207
2021,Greece,12.46,9.33,6.8,3.53,12.46,8.93,0.11,2.53,5.48,3.42,0,1.32,0,4.28,4.65,57.92,5.55,40.8,59.2,49.39,11.8,40.8,29,22.13,32.11,26.79,6.4,22.13,15.73,0.92,9.81,41.46,10.88,0,7.93,0,9.68,19.32,0.5,5.32,22.49,5.9,0,4.3,0,5.25,10.48,54.24,3.68,0.63,20.15,14.84,0.25,0.63,0.38,383.11,0.11,5.31,12.01,0.14,0,2.83,0,0.25,0.13,20.78,29630.93
2022,Greece,13.68,9.85,7.63,3.55,13.68,10.13,0.13,2.22,6.31,3.42,0,1.32,0,5.43,4.7,55.06,5.27,43.47,56.52,45.36,8.58,43.47,34.89,22.44,29.17,23.41,4.43,22.44,18.01,1.1,11.16,37.09,7.48,0,8.27,0,13.83,21.06,0.57,5.76,19.14,3.86,0,4.27,0,7.14,10.87,51.61,3.45,0.68,18.76,13.03,0.21,0.68,0.47,376.67,0.12,5.73,10.22,0.09,0,2.81,0,0.34,0.13,19.44,31704.426
2000,Czechia,2.8,9.47,0.65,1.04,1.04,0,0.09,8.82,0.65,0.95,1.76,0,0,0,0,62.88,6.14,21.76,78.23,5.87,3.12,3.12,0,15.87,57.03,4.28,2.28,2.28,0,0.71,72.36,2.32,2.41,18.64,3.55,0,0,0,0.52,52.75,1.69,1.76,13.59,2.59,0,0,0,72.9,-10.02,0.22,55.7,2.42,0.15,0.15,0,767.08,0.11,53.28,0.72,0.04,0.07,1.7,0,0,0,55.92,24976.506
2001,Czechia,2.85,9.52,0.67,1.09,1.09,0,0.09,8.85,0.67,1,1.76,0,0,0,0,64.68,6.32,23.33,76.67,5.81,3.46,3.46,0,17.32,56.9,4.31,2.57,2.57,0,0.7,70.86,2.13,2.76,19.87,3.68,0,0,0,0.52,52.59,1.58,2.05,14.75,2.73,0,0,0,74.22,-9.54,0.23,55.57,2.47,0.16,0.16,0,751.82,0.11,53.1,0.67,0.05,0.07,1.8,0,0,0,55.8,25833.414
2002,Czechia,3.86,9.52,0.67,1.09,1.1,0.01,0.09,8.85,0.67,1,2.76,0,0,0,0.01,64.61,6.31,28.6,71.41,5.74,3.94,3.94,0,21.73,54.27,4.36,2.99,2.99,0,0.66,65.67,2.12,3.28,24.66,3.62,0,0,0,0.5,49.91,1.61,2.49,18.74,2.75,0,0,0,76,-11.39,0.26,52.89,2.49,0.17,0.17,0,699.34,0.11,50.4,0.68,0.06,0.09,1.81,0,0,0,53.15,26289.627
2003,Czechia,4.86,9.52,0.67,1.09,1.1,0.01,0.09,8.85,0.67,1,3.76,0,0,0,0.01,66.58,6.5,33.51,66.49,5.17,2.26,2.26,0,27.74,55.05,4.28,1.87,1.87,0,0.59,61.32,1.91,1.67,31.25,3.26,0,0,0,0.49,50.77,1.58,1.38,25.87,2.7,0,0,0,82.79,-16.21,0.26,53.71,2.45,0.14,0.14,0,651.89,0.11,51.26,0.67,0.03,0.12,1.78,0,0,0,53.97,27239.559
2004,Czechia,4.92,9.59,0.67,1.14,1.16,0.02,0.13,8.92,0.67,1.01,3.76,0,0,0,0.02,68.07,6.63,34.69,65.31,5.27,3.26,3.27,0.01,29.07,54.72,4.41,2.73,2.74,0.01,0.85,60.04,1.84,2.41,31.42,3.43,0,0,0.01,0.71,50.31,1.54,2.02,26.33,2.87,0,0,0.01,83.79,-15.72,0.33,53.31,2.54,0.2,0.2,0,640.17,0.15,50.77,0.65,0.05,0.13,1.89,0,0,0,53.64,28542.254
2005,Czechia,4.94,9.59,0.67,1.16,1.18,0.02,0.14,8.92,0.67,1.02,3.76,0,0,0,0.02,69.3,6.74,33.99,65.99,5.55,3.79,3.81,0.02,27.86,54.07,4.55,3.11,3.13,0.02,0.89,60.44,1.79,2.9,30.18,3.76,0,0,0.02,0.73,49.52,1.47,2.38,24.73,3.08,0,0,0.02,81.93,-12.63,0.34,52.64,2.65,0.22,0.22,0,646.65,0.16,49.99,0.62,0.06,0.12,2.03,0,0,0,52.98,30384.447
2006,Czechia,5,9.67,0.72,1.2,1.24,0.04,0.18,8.95,0.72,1.02,3.76,0,0,0,0.04,71.03,6.89,35.35,64.66,5.31,4.15,4.21,0.06,29.57,54.09,4.44,3.47,3.52,0.05,1.1,59.35,1.88,3.05,31.14,3.43,0,0,0.06,0.92,49.65,1.57,2.55,26.05,2.87,0,0,0.05,83.66,-12.63,0.39,52.66,2.56,0.26,0.26,0,634.11,0.2,50.1,0.67,0.06,0.13,1.89,0,0,0,53.05,32352.812
2007,Czechia,5.12,9.67,0.72,1.25,1.36,0.11,0.23,8.95,0.72,1.02,3.76,0,0,0,0.11,71.62,6.93,33.72,66.29,5,3.75,3.9,0.15,29.59,58.18,4.39,3.29,3.42,0.13,1.37,61.29,1.56,2.38,29.82,3.44,0,0,0.15,1.2,53.79,1.37,2.09,26.17,3.02,0,0,0.13,87.77,-16.15,0.44,56.81,2.57,0.31,0.31,0,652.27,0.26,54.24,0.58,0.05,0.13,1.99,0,0,0,57.25,33956.246
2008,Czechia,5.26,9.64,0.72,1.31,1.5,0.19,0.28,8.92,0.72,1.03,3.76,0,0,0.04,0.15,71.81,6.92,36.35,63.65,5.09,4.17,4.47,0.3,30.27,53.01,4.24,3.47,3.72,0.25,1.74,58.56,1.22,2.43,31.88,3.87,0,0.01,0.29,1.45,48.77,1.02,2.02,26.55,3.22,0,0.01,0.24,83.28,-11.47,0.49,51.77,2.55,0.36,0.36,0,627.52,0.31,49.22,0.43,0.05,0.13,2.12,0,0,0,52.26,34580.44
2009,Czechia,5.87,9.64,0.72,1.39,2.04,0.65,0.35,8.92,0.72,1.04,3.83,0,0,0.46,0.19,68,6.53,39.05,60.96,4.69,5.25,5.72,0.47,31.87,49.77,3.83,4.28,4.66,0.38,2.27,56.27,1.2,2.98,33.33,3.49,0,0.11,0.36,1.85,45.94,0.98,2.43,27.21,2.85,0,0.09,0.29,81.64,-13.64,0.59,48.65,2.3,0.46,0.46,0,603.14,0.4,46.35,0.42,0.06,0.13,1.88,0,0,0,49.24,32782.613
2010,Czechia,7.3,9.66,0.74,1.46,3.4,1.94,0.39,8.92,0.72,1.05,3.9,0.02,0.02,1.73,0.21,70.27,6.72,39.79,60.21,5.18,5.8,6.93,1.13,33.91,51.31,4.41,4.95,5.91,0.96,2.53,55.03,1.62,3.27,32.86,3.56,0,0.73,0.4,2.16,46.9,1.38,2.79,28,3.03,0,0.62,0.34,85.22,-14.95,0.71,49.88,2.58,0.54,0.57,0.03,593.64,0.47,47.3,0.59,0.07,0.14,1.99,0,0.03,0,50.59,33483.137
2011,Czechia,7.64,9.66,0.74,1.55,3.67,2.12,0.48,8.92,0.72,1.05,3.97,0.02,0.02,1.91,0.21,69.6,6.63,41,59.01,5.13,5.38,8.36,2.98,35.52,51.12,4.44,4.66,7.24,2.58,3.12,53.88,1.63,2.26,32.64,3.5,0,2.52,0.46,2.7,46.68,1.41,1.96,28.28,3.03,0,2.18,0.4,86.64,-17.04,0.87,49.69,2.59,0.63,0.73,0.1,583.56,0.58,47.1,0.6,0.05,0.14,1.99,0,0.1,0,50.56,34002.19
2012,Czechia,8.04,9.03,0.74,1.72,4,2.28,0.63,8.29,0.72,1.07,4.04,0.02,0.02,2.02,0.26,69.46,6.61,44.34,55.66,4.86,6.35,9.32,2.97,38.39,48.19,4.21,5.5,8.07,2.57,3.89,50.8,1.72,2.46,35.02,3.14,0,2.48,0.49,3.37,43.98,1.49,2.13,30.32,2.72,0,2.15,0.42,86.58,-17.12,1.04,46.82,2.42,0.78,0.89,0.11,552.78,0.73,44.4,0.63,0.05,0.15,1.79,0,0.1,0.01,47.86,33688.1
2013,Czechia,8.38,9.09,0.8,1.77,4.09,2.32,0.67,8.29,0.78,1.08,4.29,0.02,0.02,2.06,0.26,69.02,6.56,46.62,53.37,5.51,7.91,10.83,2.92,40.05,45.86,4.74,6.79,9.3,2.51,4.73,47.86,2.37,3.18,35.79,3.14,0,2.36,0.56,4.06,41.12,2.04,2.73,30.75,2.7,0,2.03,0.48,85.91,-16.89,1.2,44.12,2.65,0.94,1.05,0.11,527.53,0.88,41.47,0.87,0.06,0.15,1.78,0,0.1,0.01,45.32,33661.47
2014,Czechia,8.46,10.11,1.68,1.82,4.17,2.35,0.72,8.43,1.66,1.08,4.29,0.02,0.02,2.07,0.28,68.68,6.53,46.47,53.52,5.59,7.73,10.78,3.05,39.5,45.48,4.75,6.57,9.17,2.6,5.48,47.93,2.14,2.25,35.69,3.45,0,2.49,0.56,4.66,40.73,1.82,1.91,30.33,2.93,0,2.12,0.48,84.98,-16.3,1.32,43.79,2.7,1.06,1.17,0.11,530.83,1.01,41.09,0.77,0.05,0.15,1.93,0,0.1,0.01,45.11,34386.703
2015,Czechia,8.5,10.12,1.69,1.86,4.21,2.35,0.75,8.43,1.66,1.09,4.29,0.03,0.02,2.07,0.28,69.98,6.65,43.95,56.05,6.18,7.98,11.41,3.43,36.25,46.24,5.1,6.58,9.41,2.83,5.81,49.87,2.76,2.17,32.54,3.42,0,2.74,0.69,4.79,41.14,2.28,1.79,26.84,2.82,0,2.26,0.57,82.49,-12.51,1.33,44.3,2.83,1.08,1.2,0.12,553.16,1.04,41.47,0.97,0.04,0.13,1.86,0,0.11,0.01,45.63,36168.418
2016,Czechia,8.5,10.45,1.69,1.86,4.21,2.35,0.74,8.76,1.66,1.09,4.29,0.03,0.03,2.07,0.28,71.03,6.75,40.84,59.16,7.98,8.24,11.45,3.21,33.49,48.51,6.54,6.76,9.39,2.63,5.8,51.18,4.55,2.44,29.39,3.43,0,2.6,0.61,4.76,41.97,3.73,2,24.1,2.81,0,2.13,0.5,82,-10.97,1.31,45.75,3.44,1.08,1.19,0.11,573.9,1.03,42.31,1.59,0.05,0.12,1.85,0,0.1,0.01,47.06,37014.96
2017,Czechia,8.57,10.45,1.69,1.89,4.28,2.39,0.77,8.76,1.66,1.09,4.29,0.03,0.03,2.08,0.31,72.72,6.91,44.29,55.72,7.4,7.98,11.24,3.26,37.97,47.79,6.35,6.84,9.63,2.79,5.8,48.32,4.31,2.18,33.05,3.09,0,2.57,0.69,4.97,41.44,3.7,1.87,28.34,2.65,0,2.2,0.59,85.76,-13.04,1.36,45.15,3.31,1.11,1.22,0.11,542.33,1.07,41.84,1.57,0.04,0.14,1.74,0,0.1,0.01,46.51,38824.887
2018,Czechia,8.56,10.45,1.69,1.87,4.27,2.4,0.75,8.76,1.66,1.09,4.29,0.03,0.03,2.08,0.32,72.93,6.92,45.31,54.68,7.24,7.44,10.86,3.42,39.35,47.49,6.29,6.46,9.43,2.97,5.56,47.44,4.34,1.88,34.45,2.9,0,2.72,0.7,4.83,41.2,3.77,1.63,29.92,2.52,0,2.36,0.61,86.84,-13.91,1.34,44.91,3.26,1.08,1.2,0.12,532.59,1.04,41.65,1.6,0.04,0.14,1.66,0,0.11,0.01,46.25,39941.285
2019,Czechia,8.66,10.25,1.69,1.92,4.37,2.45,0.8,8.56,1.66,1.09,4.29,0.03,0.03,2.11,0.34,72.62,6.89,47.03,52.98,9.43,8.21,11.74,3.53,40.31,45.41,8.08,7.04,10.06,3.02,5.87,43.55,6.78,2.34,35.29,2.65,0,2.71,0.82,5.03,37.33,5.81,2.01,30.25,2.27,0,2.32,0.7,85.72,-13.1,1.41,41.75,3.96,1.14,1.26,0.12,503.5,1.09,37.79,2.47,0.05,0.15,1.49,0,0.11,0.01,43.16,40989.727
2020,Czechia,8.74,9.74,1.69,1.94,4.45,2.51,0.82,8.05,1.66,1.09,4.29,0.03,0.03,2.17,0.34,69.95,6.64,50.4,49.59,10.89,9.17,12.9,3.73,40.38,39.72,8.72,7.35,10.34,2.99,6.5,38.7,8.58,2.67,37.5,2.31,0,2.86,0.87,5.21,31,6.87,2.14,30.04,1.85,0,2.29,0.7,80.1,-10.15,1.44,35.42,4.14,1.18,1.3,0.12,460.18,1.13,31.28,2.92,0.05,0.14,1.22,0,0.11,0.01,36.86,38639.98
2021,Czechia,8.85,9.19,1.69,1.97,4.56,2.59,0.83,7.5,1.66,1.11,4.29,0.03,0.03,2.25,0.34,72.58,6.91,49.45,50.56,9.7,9.31,12.72,3.41,41.37,42.29,8.11,7.79,10.64,2.85,6.43,40.86,8.74,2.88,36.73,0.96,0,2.69,0.72,5.38,34.18,7.31,2.41,30.73,0.8,0,2.25,0.6,83.66,-11.08,1.49,37.98,3.64,1.22,1.34,0.12,471.79,1.16,34.34,3.11,0.06,0.15,0.53,0,0.11,0.01,39.47,40744.457
2022,Czechia,9.02,9.19,1.69,1.97,4.73,2.76,0.83,7.5,1.66,1.11,4.29,0.03,0.03,2.42,0.34,70.21,6.68,49.92,50.08,6.04,8.96,12.88,3.92,41.8,41.94,5.06,7.5,10.78,3.28,6.46,44.04,5.17,2.5,37.04,0.87,0,3.14,0.78,5.41,36.88,4.33,2.09,31.02,0.73,0,2.63,0.65,83.74,-13.53,1.5,39.39,2.32,1.22,1.35,0.13,488.3,1.17,37.07,1.84,0.05,0.15,0.48,0,0.12,0.01,40.89,41052.348
2000,Bulgaria,4.6,6.73,1.11,1.07,1.07,0,0.05,5.62,1.11,1.02,3.53,0,0,0,0,35.97,4.44,51.27,48.73,7,6.48,6.48,0,20.81,19.78,2.84,2.63,2.63,0,0,41.73,4.71,6.48,44.79,2.29,0,0,0,0,16.94,1.91,2.63,18.18,0.93,0,0,0,40.59,-4.62,0.15,18.45,1.39,0.06,0.06,0,458.24,0,17.06,0.78,0.06,0.09,0.61,0,0,0,18.6,10504.843
2001,Bulgaria,4.42,6.73,1.11,0.89,0.89,0,0.05,5.62,1.11,0.84,3.53,0,0,0,0,36.51,4.54,48.8,51.2,6.31,3.8,3.8,0,21.2,22.24,2.74,1.65,1.65,0,0,44.89,4.4,3.8,45,1.91,0,0,0,0,19.5,1.91,1.65,19.55,0.83,0,0,0,43.44,-6.93,0.13,20.91,1.33,0.04,0.04,0,484.35,0,19.58,0.78,0.04,0.09,0.55,0,0,0,21.04,11125.801
2002,Bulgaria,3.85,6.73,1.11,1.13,1.13,0,0.05,5.62,1.11,1.08,2.72,0,0,0,0,35.78,4.49,53.09,46.91,6.08,5.04,5.04,0,22.34,19.74,2.56,2.12,2.12,0,0,40.83,3.66,5.04,48.05,2.42,0,0,0,0,17.18,1.54,2.12,20.22,1.02,0,0,0,42.08,-6.3,0.15,18.56,1.3,0.05,0.05,0,444.63,0,17.26,0.63,0.05,0.1,0.67,0,0,0,18.71,12037.584
2003,Bulgaria,4.38,6.73,1.11,1.66,1.66,0,0.01,5.62,1.11,1.65,2.72,0,0,0,0,36.79,4.65,47.94,52.06,6.55,7.07,7.07,0,20.27,22.01,2.77,2.99,2.99,0,0,45.51,4.16,7.07,40.87,2.39,0,0,0,0,19.24,1.76,2.99,17.28,1.01,0,0,0,42.28,-5.49,0.15,20.69,1.38,0.07,0.07,0,492.9,0,19.31,0.72,0.07,0.08,0.66,0,0,0,20.84,12768.754
2004,Bulgaria,4.71,6.61,1.11,1.99,1.99,0,0.01,5.5,1.11,1.98,2.72,0,0,0,0,35.48,4.51,48.26,51.74,6.04,7.59,7.59,0,19.96,21.4,2.5,3.14,3.14,0,0,45.7,3.6,7.59,40.67,2.44,0,0,0,0,18.9,1.49,3.14,16.82,1.01,0,0,0,41.36,-5.88,0.15,20.27,1.27,0.07,0.07,0,493.71,0,19,0.61,0.07,0.08,0.66,0,0,0,20.42,13703.096
2005,Bulgaria,4.72,6.61,1.11,1.99,2,0.01,0.01,5.5,1.11,1.98,2.72,0,0,0,0.01,36.31,4.65,52.29,47.71,5.65,9.8,9.8,0,22.95,20.94,2.48,4.3,4.3,0,0,42.06,3.94,9.8,42.49,1.71,0,0,0,0,18.46,1.73,4.3,18.65,0.75,0,0,0,43.89,-7.58,0.19,19.73,1.2,0.1,0.1,0,453.86,0,18.53,0.71,0.1,0.09,0.49,0,0,0,19.92,14780.913
2006,Bulgaria,4.74,6.61,1.11,1.99,2.02,0.03,0.01,5.5,1.11,1.98,2.72,0,0,0,0.03,37.7,4.85,52.19,47.79,5.78,9.26,9.3,0.04,23.72,21.72,2.63,4.21,4.23,0.02,0,42.01,4.75,9.26,42.89,1.03,0,0,0.04,0,19.09,2.16,4.21,19.49,0.47,0,0,0.02,45.44,-7.74,0.19,20.34,1.19,0.1,0.1,0,451.81,0,19.15,0.88,0.1,0.09,0.31,0,0,0,20.53,15906.753
2007,Bulgaria,3.94,6.65,1.15,2.02,2.05,0.03,0.01,5.5,1.15,2.01,1.89,0,0,0,0.03,38.35,4.97,40.92,59.08,6.84,6.61,6.73,0.12,17.52,25.3,2.93,2.83,2.88,0.05,0,52.24,5.46,6.61,34.19,1.38,0,0,0.12,0,22.37,2.34,2.83,14.64,0.59,0,0,0.05,42.82,-4.47,0.14,23.78,1.35,0.07,0.07,0,558.62,0,22.43,0.96,0.07,0.07,0.39,0,0,0,23.92,17090.451
2008,Bulgaria,4.13,6.65,1.15,2.13,2.24,0.11,0.01,5.5,1.15,2.12,1.89,0,0,0,0.11,39.15,5.1,42.03,57.96,5.86,6.31,6.58,0.27,18.7,25.79,2.61,2.81,2.93,0.12,0.04,52.1,5.3,6.27,35.45,0.56,0,0,0.27,0.02,23.18,2.36,2.79,15.77,0.25,0,0,0.12,44.49,-5.34,0.15,24.36,1.12,0.07,0.07,0,550.91,0,23.24,0.96,0.07,0.08,0.16,0,0,0,24.51,18265.783
2009,Bulgaria,4.37,6.78,1.15,2.15,2.48,0.33,0.01,5.63,1.15,2.14,1.89,0,0,0,0.33,37.24,4.88,44.77,55.23,5.36,8.13,8.7,0.57,18.94,23.37,2.27,3.44,3.68,0.24,0.02,49.87,4.63,8.11,36.07,0.73,0,0,0.57,0.01,21.1,1.96,3.43,15.26,0.31,0,0,0.24,42.31,-5.07,0.15,22.21,1,0.08,0.08,0,528.48,0,21.21,0.8,0.08,0.07,0.2,0,0,0,22.36,17768.514
2010,Bulgaria,4.6,6.78,1.15,2.19,2.71,0.52,0.01,5.63,1.15,2.18,1.89,0,0,0.03,0.49,37.48,4.94,45.74,54.26,5.03,11.04,12.54,1.5,21.01,24.92,2.31,5.07,5.76,0.69,0.09,49.23,4.29,10.95,33.2,0.74,0,0.02,1.48,0.04,22.61,1.97,5.03,15.25,0.34,0,0.01,0.68,45.93,-8.45,0.21,23.72,1.02,0.13,0.14,0.01,521.01,0.01,22.7,0.8,0.12,0.07,0.22,0,0,0.01,23.93,18164.055
